"sub","task","selfconf","coh","rt","resp","cor","cj","RTconf"
1,"dotnumber","highSC","average",0.417,1,1,5,0.194
1,"dotnumber","highSC","hard",0.518,1,1,4,0.306
1,"dotnumber","highSC","hard",0.468,-1,0,6,0.206
1,"dotnumber","highSC","average",0.585,1,1,4,0.363
1,"dotnumber","highSC","average",0.485,-1,1,5,0.308
1,"dotnumber","highSC","hard",0.401,1,1,5,0.228
1,"dotnumber","highSC","average",0.484,1,0,3,0.244
1,"dotnumber","highSC","hard",0.768,-1,0,4,0.279
1,"dotnumber","highSC","easy",0.451,1,1,5,0.181
1,"dotnumber","highSC","easy",0.502,-1,1,5,0.198
1,"dotnumber","highSC","easy",0.419,-1,1,6,0.201
1,"dotnumber","highSC","average",0.434,-1,1,5,0.235
1,"dotnumber","highSC","average",0.518,1,1,5,0.233
1,"dotnumber","highSC","easy",0.435,1,1,6,0.234
1,"dotnumber","highSC","hard",0.435,1,1,4,0.602
1,"dotnumber","highSC","hard",0.752,1,0,4,0.223
1,"dotnumber","highSC","hard",0.434,1,1,3,0.257
1,"dotnumber","highSC","easy",0.401,-1,1,5,0.259
1,"dotnumber","highSC","average",0.468,-1,1,6,0.034
1,"dotnumber","highSC","average",0.418,1,1,5,0.267
1,"dotnumber","highSC","average",0.385,1,1,6,0.221
1,"dotnumber","highSC","average",0.468,1,1,4,0.573
1,"dotnumber","highSC","average",0.401,1,1,5,0.194
1,"dotnumber","highSC","easy",0.485,-1,1,5,0.274
1,"dotnumber","highSC","average",0.536,-1,1,6,0.19
1,"dotnumber","highSC","hard",0.636,-1,0,4,0.297
1,"dotnumber","highSC","easy",0.435,-1,1,6,0.232
1,"dotnumber","highSC","easy",0.468,1,1,6,0.199
1,"dotnumber","highSC","hard",0.384,-1,1,4,0.267
1,"dotnumber","highSC","hard",0.368,-1,1,3,0.222
1,"dotnumber","highSC","average",0.418,1,1,5,0.224
1,"dotnumber","highSC","hard",0.469,-1,0,5,0.224
1,"dotnumber","highSC","average",0.451,-1,0,5,0.209
1,"dotnumber","highSC","easy",0.418,1,1,6,0.372
1,"dotnumber","highSC","average",0.686,-1,1,4,0.261
1,"dotnumber","highSC","easy",0.435,1,1,5,0.229
1,"dotnumber","highSC","hard",0.769,-1,0,5,0.265
1,"dotnumber","highSC","average",0.418,-1,1,4,0.218
1,"dotnumber","highSC","average",0.485,1,1,5,0.217
1,"dotnumber","highSC","easy",0.403,1,1,6,0.236
1,"dotnumber","highSC","hard",0.568,1,1,5,0.2
1,"dotnumber","highSC","easy",0.451,-1,1,6,0.233
1,"dotnumber","highSC","easy",0.502,-1,1,6,0.199
1,"dotnumber","highSC","easy",0.386,1,1,6,0.219
1,"dotnumber","highSC","hard",0.484,-1,1,4,0.219
1,"dotnumber","highSC","easy",0.401,1,1,6,0.206
1,"dotnumber","highSC","average",0.417,-1,1,4,0.353
1,"dotnumber","highSC","average",0.902,1,1,4,0.266
1,"dotnumber","highSC","easy",0.402,1,1,4,0.283
1,"dotnumber","highSC","hard",0.851,-1,1,4,0.217
1,"dotnumber","highSC","hard",0.601,-1,1,5,0.227
1,"dotnumber","highSC","easy",0.402,-1,1,5,0.246
1,"dotnumber","highSC","hard",0.502,1,0,5,0.244
1,"dotnumber","highSC","easy",0.401,-1,1,4,0.263
1,"dotnumber","highSC","easy",0.418,1,1,6,0.248
1,"dotnumber","highSC","hard",0.452,-1,1,6,0.231
1,"dotnumber","highSC","easy",0.402,1,1,6,0.201
1,"dotnumber","highSC","hard",0.368,1,1,6,0.255
1,"dotnumber","highSC","hard",0.668,-1,1,4,0.229
1,"dotnumber","highSC","average",0.702,-1,1,4,0.22
1,"dotnumber","highSC","hard",0.653,-1,0,5,0.244
1,"dotnumber","highSC","easy",0.418,-1,1,5,0.438
1,"dotnumber","highSC","hard",0.502,-1,1,5,0.428
1,"dotnumber","highSC","easy",0.435,1,1,6,0.261
1,"dotnumber","highSC","average",0.551,-1,1,5,0.257
1,"dotnumber","highSC","easy",0.418,-1,1,6,0.386
1,"dotnumber","highSC","average",0.401,1,1,4,0.238
1,"dotnumber","highSC","hard",0.634,-1,1,4,0.215
1,"xotask","mediumSC","easy",0.785,-1,1,6,1.013
1,"xotask","mediumSC","hard",0.551,-1,1,5,0.305
1,"xotask","mediumSC","average",0.468,-1,0,1,0.221
1,"xotask","mediumSC","hard",0.452,1,1,5,0.285
1,"xotask","mediumSC","easy",0.401,1,1,6,0.205
1,"xotask","mediumSC","hard",0.869,1,1,4,0.349
1,"xotask","mediumSC","hard",0.469,1,0,2,0.231
1,"xotask","mediumSC","average",0.418,1,1,6,0.232
1,"xotask","mediumSC","average",0.784,-1,1,5,0.218
1,"xotask","mediumSC","easy",0.435,-1,1,6,0.219
1,"xotask","mediumSC","easy",0.418,-1,1,6,0.252
1,"xotask","mediumSC","easy",0.452,-1,1,6,0.187
1,"xotask","mediumSC","average",0.435,-1,0,3,0.221
1,"xotask","mediumSC","average",0.501,-1,1,5,0.22
1,"xotask","mediumSC","average",0.451,-1,1,5,0.188
1,"xotask","mediumSC","easy",0.435,-1,1,6,0.239
1,"xotask","mediumSC","average",0.435,-1,1,4,0.254
1,"xotask","mediumSC","hard",0.403,1,1,5,0.191
