"sub","task","traindiffcond","coh","rt","resp","cor","cj","RTconf"
1,"dotnumber","hard","hard",0.651,1,0,3,0.191
1,"dotnumber","hard","average",0.668,-1,1,4,0.216
1,"dotnumber","hard","average",0.585,1,1,3,0.259
1,"dotnumber","hard","easy",1.069,1,1,4,0.217
1,"dotnumber","hard","average",0.568,-1,0,4,0.581
1,"dotnumber","hard","average",0.535,-1,1,4,0.5
1,"dotnumber","hard","easy",1.286,1,1,5,0.358
1,"dotnumber","hard","easy",0.501,-1,1,5,0.223
1,"dotnumber","hard","hard",0.835,1,1,5,0.417
1,"dotnumber","hard","hard",1.052,-1,0,4,0.288
1,"dotnumber","hard","average",0.952,-1,1,5,0.441
1,"dotnumber","hard","hard",0.618,-1,0,5,0.554
1,"dotnumber","hard","easy",0.602,-1,1,5,0.695
1,"dotnumber","hard","easy",0.535,1,1,6,0.209
1,"dotnumber","hard","average",0.702,1,1,4,0.2
1,"dotnumber","hard","easy",0.601,-1,1,4,0.227
1,"dotnumber","hard","average",0.652,1,1,4,0.251
1,"dotnumber","hard","hard",0.667,-1,1,4,0.225
1,"dotnumber","hard","average",0.735,-1,1,4,0.95
1,"dotnumber","hard","average",1.402,-1,1,6,0.578
1,"dotnumber","hard","hard",0.669,-1,1,5,0.539
1,"dotnumber","hard","average",0.768,1,1,5,0.065
1,"dotnumber","hard","easy",0.634,-1,1,5,0.273
1,"dotnumber","hard","easy",0.636,1,1,5,0.343
1,"dotnumber","hard","easy",0.535,1,1,5,0.208
1,"dotnumber","hard","easy",0.484,1,1,6,0.304
1,"dotnumber","hard","average",0.969,1,1,5,0.008
1,"dotnumber","hard","easy",1.285,-1,1,4,0.415
1,"dotnumber","hard","hard",0.753,1,0,3,0.123
1,"dotnumber","hard","easy",0.501,1,1,5,0.253
1,"dotnumber","hard","average",0.684,-1,1,4,1.667
1,"dotnumber","hard","hard",3.922,1,0,1,0.25
1,"dotnumber","hard","average",0.952,-1,1,3,0.261
1,"dotnumber","hard","average",1.519,1,1,6,0.936
1,"dotnumber","hard","easy",0.634,1,1,4,0.26
1,"dotnumber","hard","easy",0.702,-1,1,5,0.217
1,"dotnumber","hard","easy",0.468,1,1,4,0.472
1,"dotnumber","hard","average",0.719,-1,1,4,0.276
1,"dotnumber","hard","hard",0.752,-1,0,4,1.126
1,"dotnumber","hard","hard",1.869,1,1,5,0.663
1,"dotnumber","hard","average",0.568,-1,0,5,0.017
1,"dotnumber","hard","easy",0.418,-1,1,4,0.123
1,"dotnumber","hard","hard",0.635,-1,0,4,0.233
