starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,n_reddots,dotsLeft,dotsRight,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
,xotask,20,5,main,hard,easy,70,985,['c'],1,left,['0'],6,491,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,21,5,main,hard,hard,42,968,['n'],0,left,['9'],5,235,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,22,5,main,hard,average,22,1102,['n'],1,right,['9'],5,336,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,23,5,main,hard,average,22,1402,['n'],1,right,['9'],5,404,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,24,5,main,hard,hard,44,951,['c'],1,left,['9'],5,368,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,25,5,main,hard,average,57,1034,['c'],1,left,['8'],4,730,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,26,5,main,hard,hard,34,2453,['n'],1,right,['8'],4,595,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,27,5,main,hard,hard,37,1486,['c'],0,right,['8'],4,1522,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,28,5,main,hard,easy,5,1135,['n'],1,right,['0'],6,1513,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,29,5,main,hard,easy,9,951,['n'],1,right,['9'],5,399,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,30,5,main,hard,average,55,1637,['n'],0,left,['8'],4,471,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,31,5,main,hard,hard,45,1202,['c'],1,left,['9'],5,549,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,32,5,main,hard,easy,7,1201,['n'],1,right,['0'],6,402,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,33,5,main,hard,average,24,1502,['n'],1,right,['9'],5,351,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,34,5,main,hard,easy,73,1169,['c'],1,left,['9'],5,556,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,35,5,main,hard,easy,8,869,['n'],1,right,['0'],6,365,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,36,5,main,hard,hard,36,1436,['n'],1,right,['8'],4,391,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,37,5,main,hard,hard,45,1969,['c'],1,left,['8'],4,466,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,38,5,main,hard,average,56,1120,['c'],1,left,['9'],5,397,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,39,5,main,hard,average,54,1452,['c'],1,left,['8'],4,308,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,40,5,main,hard,hard,44,1435,['n'],0,left,['8'],4,432,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,41,5,main,hard,average,24,2569,['n'],1,right,['8'],4,481,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,42,5,main,hard,hard,46,1953,['c'],1,left,['3'],3,585,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,43,5,main,hard,hard,45,1252,['n'],0,left,['8'],4,545,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,44,5,main,hard,average,24,2169,['c'],0,right,['3'],3,853,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,45,5,main,hard,average,55,1737,['c'],1,left,['3'],3,454,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,46,5,main,hard,average,56,2387,['n'],0,left,['8'],4,445,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,47,5,main,hard,hard,42,1785,['n'],0,left,['8'],4,565,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,48,5,main,hard,easy,8,936,['n'],1,right,['9'],5,395,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,49,5,main,hard,easy,71,1118,['c'],1,left,['9'],5,472,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,50,5,main,hard,average,25,1035,['n'],1,right,['9'],5,502,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,51,5,main,hard,easy,73,1052,['c'],1,left,['9'],5,330,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,52,5,main,hard,hard,35,1535,['n'],1,right,['8'],4,321,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,53,5,main,hard,average,55,1018,['c'],1,left,['8'],4,294,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,54,5,main,hard,easy,72,1086,['c'],1,left,['8'],4,705,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,55,5,main,hard,easy,73,886,['c'],1,left,['9'],5,2076,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,56,5,main,hard,hard,37,1936,['n'],1,right,['8'],4,643,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,57,5,main,hard,average,57,1586,['c'],1,left,['9'],5,579,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,58,5,main,hard,hard,45,1152,['c'],1,left,['8'],4,584,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,59,5,main,hard,easy,70,987,['c'],1,left,['9'],5,763,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,60,5,main,hard,hard,35,969,['c'],0,right,['8'],4,335,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,61,5,main,hard,easy,8,2137,['n'],1,right,['9'],5,526,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,62,5,main,hard,easy,70,1086,['c'],1,left,['0'],6,551,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,63,5,main,hard,hard,35,2436,['n'],1,right,['8'],4,369,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,64,5,main,hard,average,25,1169,['n'],1,right,['9'],5,365,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,65,5,main,hard,easy,71,851,['c'],1,left,['0'],6,390,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,66,5,main,hard,average,22,819,['n'],1,right,['0'],6,465,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,67,5,main,hard,hard,42,1569,['n'],0,left,['9'],5,441,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,68,5,main,hard,average,26,1585,['n'],1,right,['9'],5,465,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,69,5,main,hard,average,22,1553,['n'],1,right,['9'],5,274,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,70,5,main,hard,average,53,985,['c'],1,left,['9'],5,626,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,71,5,main,hard,average,57,1086,['c'],1,left,['8'],4,335,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,0,6,main,hard,average,56,6659,['c'],1,left,['2'],2,1171,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,1,6,main,hard,hard,45,1569,['n'],0,left,['2'],2,574,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,2,6,main,hard,easy,5,2503,['n'],1,right,['9'],5,508,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,3,6,main,hard,easy,72,1134,['c'],1,left,['9'],5,404,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,4,6,main,hard,easy,70,1069,['c'],1,left,['0'],6,963,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,5,6,main,hard,hard,42,1218,['n'],0,left,['9'],5,493,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,6,6,main,hard,average,53,1302,['c'],1,left,['8'],4,287,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,7,6,main,hard,average,22,1119,['n'],1,right,['9'],5,393,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,8,6,main,hard,easy,8,1085,['n'],1,right,['9'],5,305,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,9,6,main,hard,average,24,935,['n'],1,right,['9'],5,4802,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,10,6,main,hard,average,53,1002,['c'],1,left,['9'],5,1023,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,11,6,main,hard,easy,72,785,['c'],1,left,['9'],5,304,,,,,,,,,39,18,Vrouw,Rechts,
